Activity Date,Process Date,Settle Date,Instrument,Description,Trans Code,Quantity,Price,Amount
4/15/2026,4/15/2026,4/17/2026,AAPL,APPLE INC,Buy,12,$182.50,($2,190.00)
4/15/2026,4/15/2026,4/17/2026,AAPL,APPLE INC,Sell,12,$184.20,$2,210.40
4/15/2026,4/15/2026,4/17/2026,TSLA,TESLA INC,Buy,8,$265.00,($2,120.00)
4/15/2026,4/15/2026,4/17/2026,TSLA,TESLA INC,Sell,8,$258.50,$2,068.00
4/15/2026,4/15/2026,4/17/2026,AMD,ADVANCED MICRO DEVICES,Buy,25,$165.00,($4,125.00)
4/15/2026,4/15/2026,4/17/2026,AMD,ADVANCED MICRO DEVICES,Buy,25,$162.50,($4,062.50)
4/15/2026,4/15/2026,4/17/2026,AMD,ADVANCED MICRO DEVICES,Sell,50,$170.00,$8,500.00
4/15/2026,4/15/2026,4/17/2026,SPY,SPDR S&P 500 ETF,Buy,5,$525.00,($2,625.00)
4/15/2026,4/15/2026,4/17/2026,SPY,SPDR S&P 500 ETF,Sell,5,$523.20,$2,616.00
4/15/2026,4/15/2026,4/17/2026,DOGE,DOGECOIN,Buy,5000.5,$0.18,($900.09)
4/15/2026,4/15/2026,4/17/2026,DOGE,DOGECOIN,Sell,5000.5,$0.183,$915.09
4/16/2026,4/16/2026,4/18/2026,QQQ,INVESCO QQQ TRUST,Buy,3,$455.00,($1,365.00)
